Date,Description,Category,Cost,Currency,Snake Ahh MF,oldie wrong road,silent bystander,chapri kid,50good50badpsych,lowkey fox,hore crap,Pretentious retard,pester,know it all,fumble pro max,-10 looker,athivinayam (removed),patithamogudu (removed),Sudden smarty and cunny (removed),Pretentious  (removed)
,,,,,,,,,,,,,,,,,,,,
2024-09-01,Mirchi nation,Groceries,18.99,USD,0.00,0.00,18.99,0.00,-9.50,0.00,0.00,-9.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024-09-02,College pizza,Dining out,5.34,USD,0.00,0.00,3.56,0.00,-1.78,0.00,0.00,-1.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024-09-03,Wifi intial deposit,TV/Phone/Internet,25.00,USD,-3.57,0.00,-3.57,0.00,21.43,0.00,-3.58,-3.57,0.00,-3.57,0.00,0.00,0.00,-3.57,0.00,0.00
2024-09-03,Bathroom stuff basement,Household supplies,41.38,USD,-10.34,0.00,31.03,0.00,0.00,0.00,0.00,0.00,0.00,-10.35,0.00,0.00,0.00,-10.34,0.00,0.00
2024-09-03,Room furnish,Rent,455.13,USD,0.00,0.00,455.13,0.00,0.00,0.00,0.00,0.00,0.00,-455.13,0.00,0.00,0.00,0.00,0.00,0.00
2024-09-09,Car rental ,Car,131.00,USD,0.00,0.00,-26.20,0.00,0.00,0.00,104.80,-26.20,0.00,-26.20,0.00,0.00,0.00,-26.20,0.00,0.00
2024-09-09,Penang Malay Dinner ,Dining out,127.00,USD,0.00,0.00,-25.40,0.00,0.00,0.00,101.60,-25.40,0.00,-25.40,0.00,0.00,0.00,-25.40,0.00,0.00
2024-09-09,Dunkin ,Dining out,47.49,USD,0.00,0.00,-11.87,0.00,0.00,0.00,35.62,-11.87,0.00,-11.88,0.00,0.00,0.00,0.00,0.00,0.00
2024-09-09,Walmart bois,Household supplies,362.29,USD,0.00,0.00,-181.15,0.00,0.00,0.00,181.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024-09-09,Indian Wholesale,Dining out,132.00,USD,0.00,0.00,-66.00,0.00,0.00,0.00,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024-09-12,Wifi second installment,TV/Phone/Internet,25.00,USD,-3.58,0.00,-3.57,0.00,21.43,0.00,-3.57,-3.57,0.00,-3.57,0.00,0.00,0.00,-3.57,0.00,0.00